IdPanel,IdExperimento,VidaUtil
0,0,1.894356031349536
1,0,44.22771780427232
2,0,30.94037450188808
3,0,29.5265757425389
4,0,12.633612702076483
5,0,3.0902484549658755
6,0,28.816176704864397
7,0,18.769263273621547
8,0,29.41925869816953
9,0,4.568471542844689
10,0,31.942467044857345
11,0,15.488787414543557
12,0,44.001522044723814
13,0,12.123008990525637
14,0,26.57978127610014
15,0,7.510090926081383
16,0,15.089387392940012
17,0,18.750532994172612
18,0,44.12259270537598
19,0,28.18160703855572
20,0,30.55117245311302
21,0,15.11000395294852
22,0,23.091732595773937
23,0,22.91666453793666
24,0,51.10394951991986
25,0,6.991429570170587
0,1,31.26098602268158
1,1,46.071533430667515
2,1,23.46382897589307
3,1,5.881907545786833
4,1,4.998659889579239
5,1,52.10261296240946
6,1,53.90901620723983
7,1,12.868733827196522
8,1,16.2664803059521
9,1,22.318229881547488
10,1,33.393421256438955
11,1,3.3309758169531456
12,1,13.101086011410752
13,1,48.264331724554275
14,1,6.815972922951817
15,1,33.122221344977234
16,1,41.89856316775913
17,1,33.56363556716599
18,1,19.89311645060292
19,1,9.714883054795546
20,1,44.05753022151744
21,1,46.615798266240944
22,1,18.773075289319703
23,1,17.61765743745287
24,1,34.83054178315716
25,1,23.473230510633528
0,2,27.383859302703048
1,2,21.295358759786286
2,2,35.92829344187611
3,2,28.109291312244714
4,2,18.01647907410597
5,2,37.823967167826105
6,2,35.900939427707506
7,2,37.09570271140033
8,2,43.766124678456485
9,2,37.33729034235508
10,2,46.36588017979598
11,2,5.821005760930662
12,2,40.716785468082726
13,2,7.422939048836392
14,2,31.839327339558263
15,2,52.1112508364977
16,2,16.380352227513235
17,2,54.965001882216704
18,2,19.659754348094967
19,2,45.13811059425731
20,2,10.224162762707937
21,2,1.657325115838764
22,2,1.4444364338139555
23,2,32.432571925527775
24,2,12.102200067969838
25,2,26.485739792089166
0,3,21.70566118943932
1,3,12.63085964116304
2,3,27.05661215699657
3,3,41.106891607345936
4,3,23.45633242862576
5,3,23.49254169162188
6,3,11.716214549654461
7,3,6.416867708749966
8,3,48.564553359313805
9,3,47.32139861260072
10,3,5.501002056263476
11,3,44.919719316961384
12,3,11.321855083828833
13,3,50.53152390893109
14,3,25.87676759053999
15,3,48.532247249599806
16,3,49.68828754568472
17,3,0.6598400484952577
18,3,46.771022716859356
19,3,36.013055640371356
20,3,43.018322062722596
21,3,43.0410391851721
22,3,45.61743421056766
23,3,2.2610965453918332
24,3,42.34508639294285
25,3,42.19666539413112
0,4,39.117146866941106
1,4,48.026879011215044
2,4,4.520204151194204
3,4,2.0244125504759376
4,4,1.7095067453294317
5,4,27.21077862552721
6,4,34.37599912045706
7,4,47.38204956148207
8,4,36.67723428146622
9,4,7.753154369992771
10,4,48.71155365466153
11,4,50.418951521561915
12,4,49.47631729708285
13,4,34.5247694346968
14,4,43.664603777037875
15,4,19.840913278147806
16,4,30.584513396468108
17,4,13.648236473674595
18,4,44.19857960675834
19,4,12.354418560606646
20,4,53.52489796201167
21,4,19.401668125387346
22,4,49.94516570612295
23,4,51.04240822990771
24,4,45.012268559858086
25,4,29.039421217211217
0,5,35.787521650028886
1,5,45.78162273960848
2,5,18.772468848906502
3,5,4.084214454124228
4,5,27.041482291173192
5,5,32.81229595155637
6,5,7.597955622180671
7,5,12.531761801002567
8,5,30.348068020244558
9,5,33.13605646510024
10,5,5.71583783775445
11,5,25.95535696977323
12,5,29.281445299897822
13,5,26.48859975793335
14,5,40.673067692990564
15,5,0.2185277178856293
16,5,2.140456105170711
17,5,5.48467485586884
18,5,26.30651773840488
19,5,49.34308481608943
20,5,44.18337948701023
21,5,37.31352486266123
22,5,12.084077547698705
23,5,38.914565460701056
24,5,30.940194802946387
25,5,4.07889536313231
0,6,12.87136805024625
1,6,52.62703769941076
2,6,27.249218428090376
3,6,23.631383591007747
4,6,9.521692174642753
5,6,18.46433655167088
6,6,10.030479677410545
7,6,47.546070351211185
8,6,23.246255393583283
9,6,51.81208590917732
10,6,41.89117796761458
11,6,46.74490966966187
12,6,46.62855443659672
13,6,8.669615599816783
14,6,29.022682047235367
15,6,27.836824791180224
16,6,15.672393844188043
17,6,44.72374255548289
18,6,41.9787293511965
19,6,1.2939953489465794
20,6,26.636733047169095
21,6,43.501193946228966
22,6,24.50303124217541
23,6,8.62730676518172
24,6,5.808855966481675
25,6,6.602878295701787
0,7,53.58968085612052
1,7,30.455748940731905
2,7,42.740924970863766
3,7,21.641442752050285
4,7,5.306789850732826
5,7,35.21698131258464
6,7,1.4918877672772146
7,7,25.694769899394068
8,7,8.464195803799734
9,7,23.80352247232156
10,7,27.08701799929146
11,7,5.974926004780755
12,7,38.76842560097338
13,7,1.8491718051644324
14,7,13.536511672945382
15,7,39.7456274497362
16,7,13.66758167405013
17,7,41.55255207385948
18,7,35.19439825610127
19,7,29.759851424775402
20,7,42.99408003214274
21,7,14.423900565061281
22,7,26.297154763274342
23,7,2.5122339919983814
24,7,10.519905923854717
25,7,31.805863759602016
0,8,10.204960402279372
1,8,32.83539280378463
2,8,46.42855077531839
3,8,0.7396658691326607
4,8,0.6654524349134611
5,8,50.098151686167625
6,8,1.9035727447099071
7,8,48.024099280902085
8,8,2.8219525526618723
9,8,32.25221524956687
10,8,12.476639504271104
11,8,1.6534345919385691
12,8,31.405445579461514
13,8,45.21189981809505
14,8,15.65621230604781
15,8,49.13581399954466
16,8,5.7940540307433865
17,8,15.816417620557274
18,8,17.525262477475344
19,8,8.060251755480657
20,8,19.9045595336608
21,8,18.431353414743274
22,8,20.602389397156617
23,8,41.66986668107181
24,8,29.001516545001184
25,8,35.782471952864775
0,9,41.500387613916914
1,9,1.184385856101925
2,9,40.75589395086547
3,9,28.120497969670947
4,9,44.07284893708257
5,9,39.57685896971071
6,9,25.384350659330835
7,9,49.42055743126152
8,9,7.76915065407257
9,9,49.757673526275674
10,9,40.41879863810486
11,9,49.06123344577445
12,9,38.09290197642044
13,9,39.862872943085456
14,9,16.116984299780093
15,9,39.213644314049965
16,9,49.14496884720874
17,9,51.67876618969296
18,9,15.877637666165118
19,9,14.539046007497358
20,9,53.62430899108349
21,9,49.97403604153281
22,9,46.40484228298755
23,9,17.832008814918265
24,9,41.96731178902644
25,9,16.223966159153708
0,10,9.793340591053312
1,10,43.263708942701726
2,10,14.91409792613217
3,10,33.202572468951324
4,10,11.598201287604622
5,10,8.73586728503017
6,10,26.780882170330713
7,10,34.62284539625702
8,10,52.202276724861
9,10,1.387057865786388
10,10,46.0763488993885
11,10,48.17102632385208
12,10,16.054782018700266
13,10,8.874522223191827
14,10,8.930853907180774
15,10,44.89758737627866
16,10,3.1742376782126156
17,10,36.960118383299175
18,10,10.845440935974091
19,10,12.72029344405588
20,10,26.432493728190387
21,10,18.546439651235207
22,10,54.816233824439024
23,10,24.326823700277526
24,10,12.710482795400091
25,10,20.032225873845356
0,11,33.128491597019995
1,11,53.74860477408499
2,11,32.822850183875595
3,11,52.91392018925645
4,11,39.92452365930697
5,11,26.179356728466054
6,11,20.069209796455624
7,11,43.14586120631647
8,11,10.115828188500947
9,11,6.267602980302128
10,11,2.887075543705272
11,11,3.1847986111188846
12,11,50.20692578223278
13,11,29.856423921049508
14,11,17.174239543036293
15,11,37.04765898252058
16,11,0.9987968912833006
17,11,8.269133793130862
18,11,36.63492758666852
19,11,7.875846622533098
20,11,22.91361988784215
21,11,10.50369368384923
22,11,50.145742822438166
23,11,52.3583735112157
24,11,19.913370177642957
25,11,30.904936878042353
0,12,38.65139369380607
1,12,17.707088622815956
2,12,29.084766205245334
3,12,22.31169065071601
4,12,27.370391680108476
5,12,15.394643143804135
6,12,20.08907657147414
7,12,51.07393540110976
8,12,52.30117926390635
9,12,13.803457926606002
10,12,8.44705167483411
11,12,9.994664929264808
12,12,37.66454135076689
13,12,13.781862105299453
14,12,2.8710085179533333
15,12,28.122813021309046
16,12,13.388072135173195
17,12,50.52985343551516
18,12,45.220704639486335
19,12,36.32780910780377
20,12,17.03116988148143
21,12,26.362592060125273
22,12,46.29676290113573
23,12,17.21162241753369
24,12,14.422091053284019
25,12,17.210153095645516
0,13,43.36248314357987
1,13,0.8693361703658592
2,13,45.712909456034296
3,13,34.89979595746993
4,13,54.64764444105749
5,13,24.47421126238111
6,13,44.273630600875414
7,13,13.561144314674284
8,13,0.5258400916444844
9,13,44.44252844973155
10,13,52.36850336230954
11,13,5.913180644796826
12,13,36.08108615275795
13,13,27.358783334137385
14,13,16.50300406848002
15,13,18.38266509434813
16,13,10.89096601849782
17,13,46.89327235605162
18,13,6.2985508116954945
19,13,40.288416617123055
20,13,46.25480344978641
21,13,42.807391681284315
22,13,37.47426180482509
23,13,21.329944619111895
24,13,25.53844324790009
25,13,43.453973851991236
0,14,5.047382761722673
1,14,41.21065862405028
2,14,37.44144963771851
3,14,15.424512824233304
4,14,2.1061576272150933
5,14,49.00342396186217
6,14,16.968166183343747
7,14,6.158750478579593
8,14,14.231142741953386
9,14,38.81925860042599
10,14,6.155359947435199
11,14,10.210220623376195
12,14,26.80650884693459
13,14,54.075655614580484
14,14,26.127759388140497
15,14,38.52299768859643
16,14,48.14128382764475
17,14,14.342599627677668
18,14,34.01103190907252
19,14,51.56704100436047
20,14,14.444881117765025
21,14,53.96607871069063
22,14,34.72781835278186
23,14,1.3368509430596731
24,14,13.878759909852135
25,14,6.581130534232181
0,15,8.24862133404524
1,15,43.85083839626397
2,15,48.45849125925892
3,15,27.618953321482703
4,15,18.174861653150575
5,15,31.39076951797345
6,15,46.154299638850574
7,15,50.71607282836349
8,15,41.46856308306849
9,15,30.22652275257769
10,15,50.586818480888
11,15,31.835396760341933
12,15,49.26747521214033
13,15,10.410576717172795
14,15,40.27020241225585
15,15,43.653775371841775
16,15,39.50699254261928
17,15,22.359076957704588
18,15,11.434915222770622
19,15,43.7980898927599
20,15,30.502408448545125
21,15,42.841240133988805
22,15,43.49597533021298
23,15,34.140511439193205
24,15,20.723687228080024
25,15,43.19970671847205
0,16,23.995225369192617
1,16,34.38896377655181
2,16,29.174425555635565
3,16,47.13032379104751
4,16,42.771279663042776
5,16,4.814272015327052
6,16,40.570608940618996
7,16,5.812860587920742
8,16,25.203073402918974
9,16,22.52514171126203
10,16,54.587876462716714
11,16,15.818810692011784
12,16,28.80437392928093
13,16,35.50628182468907
14,16,20.472330386733706
15,16,38.3375728373764
16,16,35.09633267125464
17,16,49.59849197180296
18,16,9.393298801959107
19,16,14.930469306244829
20,16,50.007915829693154
21,16,11.456704042766027
22,16,48.6485532913156
23,16,10.473417842850695
24,16,10.33044402467219
25,16,48.5793517204342
0,17,42.44541703084726
1,17,37.455166771007114
2,17,41.141173487001886
3,17,38.908146052291436
4,17,28.135128650723665
5,17,46.387548988119235
6,17,7.636166791754349
7,17,19.441659922245673
8,17,2.8375097654753483
9,17,15.598367069194769
10,17,2.5932743030341183
11,17,17.99198735511909
12,17,36.361826152266026
13,17,19.021108113911893
14,17,30.949145713483837
15,17,4.603513189772924
16,17,27.86449245734631
17,17,10.157128644075154
18,17,16.46722830138063
19,17,36.01324960485568
20,17,19.530769171415265
21,17,11.45383501323661
22,17,5.774885527577702
23,17,6.589396512200317
24,17,16.079794422930956
25,17,22.63030748166524
0,18,49.3731028925657
1,18,30.27112098863363
2,18,52.56218943900572
3,18,40.22876729271276
4,18,44.696647789448285
5,18,27.95142281791672
6,18,20.234175474529067
7,18,24.495028332933668
8,18,17.352967794213356
9,18,23.752998974339445
10,18,43.83867267494815
11,18,43.67392490098783
12,18,51.80546562935055
13,18,18.918988443169386
14,18,50.841764101933094
15,18,32.67744422464811
16,18,25.950475851266056
