IdMaquina,IdProducto,Rate
0,0,14
0,1,14
0,2,13
0,3,14
0,4,15
0,5,15
0,6,15
0,7,12
0,8,17
0,9,13
0,10,15
0,11,9
0,12,14
0,13,16
1,0,12
1,1,16
1,2,9
1,3,11
1,4,14
1,5,14
1,6,11
1,7,13
1,8,14
1,9,13
1,10,11
1,11,11
1,12,17
1,13,14
2,0,13
2,1,14
2,2,12
2,3,10
2,4,13
2,5,15
2,6,15
2,7,11
2,8,9
2,9,10
2,10,10
2,11,17
2,12,17
2,13,14
3,0,6
3,1,7
3,2,7
3,3,4
3,4,4
3,5,5
3,6,4
3,7,4
3,8,7
3,9,6
3,10,5
3,11,4
3,12,4
3,13,7
4,0,5
4,1,6
4,2,6
4,3,4
4,4,4
4,5,5
4,6,7
4,7,4
4,8,5
4,9,7
4,10,4
4,11,4
4,12,5
4,13,4
5,0,10
5,1,11
5,2,12
5,3,11
5,4,14
5,5,12
5,6,9
5,7,15
5,8,9
5,9,15
5,10,9
5,11,11
5,12,16
5,13,17
6,0,14
6,1,16
6,2,14
6,3,10
6,4,12
6,5,10
6,6,14
6,7,13
6,8,9
6,9,9
6,10,16
6,11,11
6,12,14
6,13,14
7,0,9
7,1,15
7,2,15
7,3,15
7,4,16
7,5,14
7,6,16
7,7,14
7,8,15
7,9,14
7,10,17
7,11,10
7,12,14
7,13,14
