IdMaquina,IdProducto,Rate
0,0,19
0,1,10
0,2,15
0,3,14
0,4,12
0,5,18
0,6,10
0,7,15
0,8,11
0,9,12
0,10,18
0,11,17
0,12,18
0,13,10
1,0,18
1,1,17
1,2,19
1,3,15
1,4,10
1,5,10
1,6,12
1,7,13
1,8,16
1,9,11
1,10,18
1,11,12
1,12,17
1,13,12
2,0,10
2,1,16
2,2,17
2,3,18
2,4,17
2,5,17
2,6,13
2,7,15
2,8,14
2,9,17
2,10,14
2,11,15
2,12,10
2,13,12
3,0,6
3,1,7
3,2,5
3,3,8
3,4,7
3,5,7
3,6,8
3,7,8
3,8,8
3,9,6
3,10,8
3,11,7
3,12,5
3,13,5
4,0,8
4,1,6
4,2,6
4,3,8
4,4,6
4,5,7
4,6,8
4,7,5
4,8,6
4,9,8
4,10,7
4,11,6
4,12,8
4,13,7
5,0,10
5,1,10
5,2,14
5,3,18
5,4,13
5,5,19
5,6,19
5,7,11
5,8,11
5,9,14
5,10,15
5,11,12
5,12,17
5,13,19
6,0,12
6,1,10
6,2,13
6,3,14
6,4,19
6,5,15
6,6,17
6,7,14
6,8,13
6,9,19
6,10,10
6,11,15
6,12,15
6,13,19
7,0,19
7,1,14
7,2,15
7,3,18
7,4,15
7,5,17
7,6,11
7,7,12
7,8,18
7,9,12
7,10,17
7,11,12
7,12,13
7,13,15
